Class Name,Unique,Day,Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
PHY  105M LAB FOR PHY 302K/303K/317K         ,55335,TH,8:00 a.m.-11:00 a.m.,PMA 8.320,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55600,TH,8:00 a.m.-11:00 a.m.,PMA 8.208,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55605,TH,8:00 a.m.-11:00 a.m.,PMA 8.316,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55610,TH,8:00 a.m.-11:00 a.m.,PMA 8.318,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  115L LABORATORY FOR PHY 315         ,55795,TH,8:00 a.m.-11:00 a.m.,PMA 7.322,Face-to-face,"HEINZEN, DANIEL J",open,,
STA  235 DATA SCI FOR BUSINESS APPLCTNS         ,05205,TH,8:00 a.m.-10:00 a.m.,UTC 3.110,Face-to-face,"SOMAL, HARSIMRAN",open; reserved,Quantitative Reasoning,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49820,THT,8:30 a.m.-9:30 a.m.8:00 a.m.-12:00 p.m.,NHB 1.102,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49825,THT,8:30 a.m.-9:30 a.m.8:00 a.m.-12:00 p.m.,NHB 1.106,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49830,THT,8:30 a.m.-9:30 a.m.8:00 a.m.-12:00 p.m.,NHB 1.110,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49835,THT,8:30 a.m.-9:30 a.m.8:00 a.m.-12:00 p.m.,NHB 1.116,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49840,THT,8:30 a.m.-9:30 a.m.8:00 a.m.-12:00 p.m.,NHB 1.118,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49845,THT,8:30 a.m.-9:30 a.m.8:00 a.m.-12:00 p.m.,NHB 1.124,Face-to-face,"FJETLAND, CONRAD R",open,,
CH  220C ORGANIC CHEMISTRY LABORATORY         ,49850,THT,8:30 a.m.-9:30 a.m.8:00 a.m.-12:00 p.m.,NHB 1.126,Face-to-face,"FJETLAND, CONRAD R",open,,
DES  396 BUSINESS OF DESIGN         ,21190,TH,8:30 a.m.-11:30 a.m.,ART 3.410,Face-to-face,"RICHARD, DAVID S",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52100,TH,8:30 a.m.-12:30 p.m.,SEA 1.440B,Face-to-face,"MORGAN, MAUD TRIST",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52105,TH,8:30 a.m.-12:30 p.m.,SEA 1.440B,Face-to-face,"PAULEY, LARA L",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52110,TH,8:30 a.m.-12:30 p.m.,SEA 1.440D,Face-to-face,"FUNDERBURG, EMILY S",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52115,TH,8:30 a.m.-12:30 p.m.,SEA 1.440D,Face-to-face,"JOHNSON, BECCA",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52120,TH,8:30 a.m.-12:30 p.m.,SEA 1.440D,Face-to-face,"OZUNA, SARAH DANIELLE",open,,
LAW  296W ADV LITIGATION: PRBLMS/STRATGS         ,28670,TH,8:30 a.m.-10:30 a.m.,TNH 3.127,Face-to-face,"HAWXHURST, JERRY",cancelled,,
S W  383T SOCIAL WORK PRACTICE II         ,60235,TH,8:30 a.m.-11:30 a.m.,SSW 2.112,Face-to-face,"SMITH, ROBIN M",open,,
S W  383T SOCIAL WORK PRACTICE II         ,60240,TH,8:30 a.m.-11:30 a.m.,SSW 2.132,Face-to-face,"LLOYD, PATRICK M",open,,
S W  388R 5-STRUCTRL EQUATION MODELING         ,60370,TH,8:30 a.m.-11:30 a.m.,SSW 2.118,Face-to-face,"VON STERNBERG, KIRK L",open,,
ALD  322 INDIVIDUAL DIFFERENCES         ,10324,TH,9:00 a.m.-12:00 p.m.,SZB 2.808,Face-to-face,"BRYANT, DIANE P",open,,
ALD  328 APPLIED HUMAN LEARNING-Y         ,10385,TH,9:00 a.m.-12:00 p.m.,SZB 4.312,Face-to-face,,open,Writing,
ANT  384M SLAVERY IN ANCIENT AMERICA         ,31395,TH,9:00 a.m.-12:00 p.m.,WCP 4.120,Face-to-face,"COJTI REN, IYAXEL IXKAN",open,,
ANT  391 POSTCOLONIAL PERFORMANCE         ,31435,TH,9:00 a.m.-12:00 p.m.,WCP 5.124,Face-to-face,"DAVIDSON DE SA, CELINA AI",open,,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49550,THTH,9:00 a.m.-1:00 p.m.9:00 a.m.-1:00 p.m.,WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,Quantitative Reasoning,
CH  204 INTRO TO CHEMICAL PRACTICE         ,49776,THTH,9:00 a.m.-1:00 p.m.9:00 a.m.-1:00 p.m.,WEL 3.134WEL 5.136,Face-to-face,"LAUDE, DAVID A",open; reserved,,
CRP  385C ADVANCED PUBLIC MANAGEMENT         ,01435,TH,9:00 a.m.-12:00 p.m.,SRH 3.312,Face-to-face,"BIXLER, RICHARD PATRICK",open; reserved,,
EDC  370E 1-READING-P         ,10665,TH,9:00 a.m.-12:00 p.m.,,Face-to-face,,open,,
EDC  370E 2-LANGUAGE ARTS-B         ,10675,TH,9:00 a.m.-12:00 p.m.,,Face-to-face,,open,Writing,
EDP  381C 8-QUALITATIVE RESEARCH MTHDS         ,11740,TH,9:00 a.m.-12:00 p.m.,SZB 4.302,Face-to-face,"AINSLIE, RICARDO C",open,,
ELP  394C SCHOOL DSTRCT ADMIN FUNC I         ,11340,TH,9:00 a.m.-12:00 p.m.,SZB 3.808,Face-to-face,"CRUZ, PAUL",open,,
ELP  394S SUPERINTENDENT SEMINAR         ,11380,TH,9:00 a.m.-12:00 p.m.,SZB 3.222,Face-to-face,"REYES, PEDRO",open; reserved,,
EVS  151 ENVIR SCI PROFESSIONALISM II         ,26495,TH,9:00 a.m.-10:00 a.m.,JGB 3.120,Face-to-face,"PAPENDIECK, ADAM SCOTT",open; reserved,,
HDF  113L CHILD DEVELOPMENT LABORATORY         ,51830,TH,9:00 a.m.-10:30 a.m.,SEA 1.440,Face-to-face,"SPERANZA, HALLIE G",open,,
N  255D ADULT HEALTH NURSING IIB         ,57115,TH,9:00 a.m.-11:00 a.m.,NUR 1.108,Face-to-face,"TABKE, ERIKA H",open; reserved,,
N  389D ADULT-GRN: HLTH PROM/ILL PREVN         ,57495,TH,9:00 a.m.-11:30 a.m.,NUR 4.165,Face-to-face,"TIMMERMAN, GAYLE MCUEVAS, HEATHER E",open,,
N  389D ADULT-GRN: HLTH PROM/ILL PREVN         ,57500,TH,9:00 a.m.-11:30 a.m.,NUR 4.176,Face-to-face,"CUEVAS, HEATHER ETIMMERMAN, GAYLE M",cancelled,,
N  389D ADULT-GRN: HLTH PROM/ILL PREVN         ,57505,TH,9:00 a.m.-11:30 a.m.,NUR 4.176,Face-to-face,"CUEVAS, HEATHER ETIMMERMAN, GAYLE M",open; reserved,,
N  489H DIAG/MGMT ADULT GRN HLTH PROBS         ,57525,TH,9:00 a.m.-12:00 p.m.,NUR 3.170,Face-to-face,"ROHLICH, LIZ M",open,,
N  489H DIAG/MGMT ADULT GRN HLTH PROBS         ,57529,TH,9:00 a.m.-12:00 p.m.,NUR 3.172,Face-to-face,"COOK-ROUSEY, SHERRI LYN",open; reserved,,
N  394E PED PRIM HC CNCPTS I-PNP         ,57695,TH,9:00 a.m.-12:00 p.m.,NUR 4.174,Face-to-face,"KEY, STEPHANIE MFROCK, PAIGE",open,,
N  396L PRIM HC CNCPTS I-FNP/FPMHNP         ,57815,TH,9:00 a.m.-12:00 p.m.,NUR 5.167,Hybrid or Blended,"YOUNG, CARAPAPERMASTER, AMY",open,,
N  398D DSN PRCSN HLTH/IMPLMT SCI-WB         ,57885,TH,9:00 a.m.-12:00 p.m.,,Internet,"KIM, MIYONG",open,,
P A  388K GENDER AND DEVELOPMENT         ,59470,TH,9:00 a.m.-12:00 p.m.,SRH 3.216,Face-to-face,"LENTZ, ERIN",open,,
P A  388K POLCY ANLYS/POLCYMKG PRCS MXCO         ,59550,TH,9:00 a.m.-12:00 p.m.,SRH 3.316,Face-to-face,"MORENO, CARLOS L",open; reserved,,
P A  393G MICROECONOMICS         ,59735,TH,9:00 a.m.-12:00 p.m.,SRH 3.124,Face-to-face,"WONG, PATRICK P",open,,
P A  397 INTRO EMPIRCL METH POLICY ANLY         ,59790,TH,9:00 a.m.-12:00 p.m.,SRH 3.B7,Face-to-face,,cancelled,,
PHM  282G PHARMACY BUSINESS PLAN DEV         ,58535,TH,9:00 a.m.-11:00 a.m.,PHR 3.114A,Face-to-face,"WEAVER, TERRY HPOPE, NATHAN D",open; reserved,,
PHM  282G PHR BUSINESS PLAN DEV-S A         ,58540,TH,9:00 a.m.-11:00 a.m.,,Face-to-face,"WEAVER, TERRY HPOPE, NATHAN D",open,,
S W  395K RSRCH MTHDS MNRITIZED POPS         ,60475,TH,9:00 a.m.-12:00 p.m.,SSW 2.122,Face-to-face,"CALZADA, ESTHER",open,,
AFR  385C AFRO-LATINOS: POLIT/CUL/MEMORY         ,30510,TH,9:30 a.m.-12:30 p.m.,BEN 1.118,Face-to-face,"ARROYO MARTINEZ, JOSSIANN",open,,
CH  153K PHYSICAL CHEMISTRY LABORATORY         ,50240,TH,9:30 a.m.-12:30 p.m.,WEL 4.138,Face-to-face,"WORDEN, MATTHEW",open,Writing,
CMS  332K THEORIES OF PERSUASION         ,08180,TH,9:30 a.m.-11:00 a.m.,DMC 2.106,Hybrid or Blended,"BANKEY, BRENDON HERBERT",open,,
GOV  384N 2-CORE READINGS IN PUBLIC LAW         ,37675,TH,9:30 a.m.-12:30 p.m.,BAT 5.102,Face-to-face,"DUCK-MAYR, JB",open,,
INF  385G ADVANCED USABILITY         ,27690,TH,9:30 a.m.-12:30 p.m.,UTA 1.208,Face-to-face,"OLIVER, STACEY S",cancelled,,
INF  385T AI IN HEALTH         ,27715,TH,9:30 a.m.-12:30 p.m.,UTA 1.208,Face-to-face,"DING, YING",open,,
LAW  184V 3-ADV RSCH: CORP/SECURITIES         ,28255,TH,9:45 a.m.-11:45 a.m.,JON 3.222,Face-to-face,"ZHANG, LEI",open; reserved,,
LAW  284W 7-ADV LGL WR: WR BUSN CLIENTS         ,28300,TH,9:45 a.m.-11:45 a.m.,JON 6.257,Face-to-face,"KIMBOL, PAUL S",open; reserved,,
LAW  196V ADVANCED CRIMINAL LAW SKILLS         ,28570,TH,9:45 a.m.-11:45 a.m.,CCJ 3.306,Face-to-face,"BLEDSOE, MURFF F",open; reserved,,
LAW  296V MERGERS AND ACQUISITIONS         ,28620,TH,9:45 a.m.-11:45 a.m.,TNH 2.124,Face-to-face,"HICKS, KIMBERLY RMCCORD, JENNA ETODD, MARTHA L",open; reserved,,
LAW  296W LAW OF THE US-MEXICO BORDER         ,28694,TH,9:45 a.m.-11:45 a.m.,TNH 3.129,Face-to-face,"HANSEN, PATRICIA I",open; reserved,,
LAW  296W REGULATION OF EMERGING TECH         ,28700,TH,9:45 a.m.-11:45 a.m.,TNH 3.114,Face-to-face,"SCHWARTZ, ERICH",open; reserved,,
LAW  497C CLINIC: DISABILITY RIGHTS         ,28780,TH,9:45 a.m.-12:00 p.m.,JON 5.257,Face-to-face,"WOOD, LUCILLE D",open; reserved,,
P A  288K REGULATION OF EMERGING TECH         ,59350,TH,9:45 a.m.-11:45 a.m.,TNH 3.114,Face-to-face,"SCHWARTZ, ERICH",open; reserved,,
D S  235 INTRO TO DECISION SCIENCE         ,04215,TH,10:00 a.m.-12:00 p.m.,UTC 4.112,Face-to-face,"HAMMOND, ROBERT KINCAID",open; reserved,Quantitative Reasoning,
D S  235H INTRO TO DECISION SCIENCE: HON         ,04265,TH,10:00 a.m.-12:00 p.m.,CBA 4.304,Face-to-face,"CAO, JUNYU",open; reserved,Quantitative Reasoning,
O M  235 OPERATIONS MANAGEMENT         ,04860,TH,10:00 a.m.-12:00 p.m.,UTC 3.104,Face-to-face,"HASLER, MICHAEL GRAHAM",open; reserved,,
O M  235 OPERATIONS MANAGEMENT         ,04865,TH,10:00 a.m.-12:00 p.m.,UTC 3.112,Face-to-face,"BAGCHI, UTTARAYAN",open; reserved,,
PHM  290M INPAT ADULT MEDICINE-S A         ,58815,TH,10:00 a.m.-12:00 p.m.,,Two-way Interactive Video,"RYAN, LAURAJOMOOTE, REBECCA DJANZEN, KRISTIN MARIELIPSCOMB, JUSTINA",open; reserved,,
PHM  290M INPATIENT ADULT MEDICINE         ,58820,TH,10:00 a.m.-12:00 p.m.,PHR 2.208,Two-way Interactive Video,"RYAN, LAURAJOJANZEN, KRISTIN MARIEMOOTE, REBECCA DLIPSCOMB, JUSTINA",open; reserved,,
STA  235 DATA SCI FOR BUSINESS APPLCTNS         ,05210,TH,10:00 a.m.-12:00 p.m.,UTC 3.110,Face-to-face,"SOMAL, HARSIMRAN",open; reserved,Quantitative Reasoning,
UGS  016 FIRST-YR INTEREST GROUP-CNS         ,61800,TH,10:00 a.m.-11:00 a.m.,MBB 1.210,Face-to-face,"TREJO, MARCO ANTONIO JR",open,,
HDF  113L CHILD DEVELOPMENT LABORATORY         ,51850,TH,10:30 a.m.-12:00 p.m.,SEA 1.440,Face-to-face,"SPERANZA, HALLIE G",open,,
HDF  266L GUIDANCE ADULT-CHILD REL LAB         ,52140,TH,10:30 a.m.-2:30 p.m.,SEA 1.440,Face-to-face,"JOHNSON, BECCA",open,,
LAW  280T PERSUASIVE WRTG AND ADVOCACY         ,28020,THF,10:30 a.m.-11:45 a.m.10:30 a.m.-11:45 a.m.,TNH 3.142TNH 2.124,Face-to-face,"MASON, LORI R",open; reserved,,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07180,THM,11:00 a.m.-1:00 p.m.1:00 p.m.-2:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07185,THT,11:00 a.m.-1:00 p.m.1:00 p.m.-2:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07190,THW,11:00 a.m.-1:00 p.m.1:00 p.m.-2:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07195,THTH,11:00 a.m.-1:00 p.m.1:00 p.m.-2:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07200,THM,11:00 a.m.-1:00 p.m.2:00 p.m.-3:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07205,THT,11:00 a.m.-1:00 p.m.2:00 p.m.-3:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
ADV  373 INTEGRATED COMM CAMPAIGNS         ,07210,THW,11:00 a.m.-1:00 p.m.2:00 p.m.-3:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
NSC  371 CAPSTONE THESIS SEMINAR-HSS         ,46520,TH,11:00 a.m.-1:00 p.m.,PAI 5.42,Face-to-face,"WILCOX, REBECCA A",open; reserved,WritingIndependent Inquiry,
NSC  088L INTRO EVIDENCE BASED TCHG         ,46555,TH,11:00 a.m.-12:30 p.m.,WEL 2.140,Face-to-face,,open,,
NSC  088M MENTORING UNDRGRD RESEARCHERS         ,46560,TH,11:00 a.m.-12:30 p.m.,WEL 2.140,Face-to-face,"HOLLEY, JO ANNE C",open,,
NTR  107L INTRODUCTORY FOOD SCIENCE LAB         ,52355,TH,11:00 a.m.-2:00 p.m.,GEA 337,Face-to-face,"HAYS, DREW",open; reserved,,
NTR  126L NUTRITIONAL SCIENCES LAB         ,52400,THF,11:00 a.m.-2:00 p.m.11:00 a.m.-12:00 p.m.,PAI 5.30RLP 1.104,Face-to-face,"KLINGBEIL, ELIZABETH",open,,
P R  377K INTEGRATED COMM CAMPAIGNS         ,07790,THM,11:00 a.m.-1:00 p.m.1:00 p.m.-2:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
P R  377K INTEGRATED COMM CAMPAIGNS         ,07795,THW,11:00 a.m.-1:00 p.m.1:00 p.m.-2:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
P R  377K INTEGRATED COMM CAMPAIGNS         ,07800,THTH,11:00 a.m.-1:00 p.m.1:00 p.m.-2:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
P R  377K INTEGRATED COMM CAMPAIGNS         ,07805,THM,11:00 a.m.-1:00 p.m.2:00 p.m.-3:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
P R  377K INTEGRATED COMM CAMPAIGNS         ,07810,THT,11:00 a.m.-1:00 p.m.2:00 p.m.-3:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
P R  377K INTEGRATED COMM CAMPAIGNS         ,07815,THW,11:00 a.m.-1:00 p.m.2:00 p.m.-3:00 p.m.,DMC 4.206DMC 4.206,Face-to-face,"BELL, TAMARA A",open; reserved,Independent Inquiry,
PGS  195S ENVIR/MOLCLR MECHS HLTH/DISEAS         ,58225,TH,11:00 a.m.-12:00 p.m.,PHR 4.114,Face-to-face,"DEMORROW, SHARON",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55415,TH,11:00 a.m.-2:00 p.m.,PMA 8.202,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55420,TH,11:00 a.m.-2:00 p.m.,PMA 8.206,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55425,TH,11:00 a.m.-2:00 p.m.,PMA 8.210,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105M LAB FOR PHY 302K/303K/317K         ,55430,TH,11:00 a.m.-2:00 p.m.,PMA 8.320,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55660,TH,11:00 a.m.-2:00 p.m.,PMA 8.208,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55665,TH,11:00 a.m.-2:00 p.m.,PMA 8.316,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  105N LAB FOR PHY 302L/303L/317L         ,55670,TH,11:00 a.m.-2:00 p.m.,PMA 8.318,Face-to-face,"LOVERIDGE, ANDREW J",open,,
PHY  115L LABORATORY FOR PHY 315         ,55805,TH,11:00 a.m.-2:00 p.m.,PMA 7.322,Face-to-face,"HEINZEN, DANIEL J",open,,
RTF  369 3-ADV SCRNWRITING: TV PILOTS         ,09670,TH,11:00 a.m.-2:00 p.m.,CMA 6.146,Face-to-face,"PEREZ, MAYA C",cancelled,Writing,
UGS  016 FIRST-YR INTEREST GROUP-CNS         ,61825,TH,11:00 a.m.-12:00 p.m.,PAI 4.28,Face-to-face,"WANDELT, JESSICA E",open,,
UTS  101 SEC TCHR EDUC PREP: STEP 1         ,46625,TH,11:00 a.m.-12:30 p.m.,PAI 4.18,Face-to-face,"RODRIGUEZ, SHELLY R",open,,
CMS  395M CAPSTONE IN STRATEGIC COMM         ,08465,TH,11:30 a.m.-12:30 p.m.,DMC 2.508,Face-to-face,"VANGELISTI, ANITA L",open,,
N  157P CLINICAL NUR SKILLS II PRAC         ,57185,TH,11:30 a.m.-1:30 p.m.,NUR 4.108,Face-to-face,"GAMEZ, YURI D",open; reserved,,
N  157P CLINICAL NUR SKILLS II PRAC         ,57190,TH,11:30 a.m.-1:30 p.m.,NUR 4.118,Face-to-face,"BLANK, ADAM",open; reserved,,
N  157P CLINICAL NUR SKILLS II PRAC         ,57195,TH,11:30 a.m.-1:30 p.m.,NUR 4.120,Face-to-face,"MENDOZA, ANNA CHRISTINA",open; reserved,,
S W  384S FIELD INSTRUCTION II         ,60265,TH,11:30 a.m.-12:30 p.m.,SSW 2.112,Face-to-face,,open,,
S W  384S FIELD INSTRUCTION II         ,60270,TH,11:30 a.m.-12:30 p.m.,SSW 2.132,Face-to-face,,open,,
ARH  394 ISLAMIC ORNAMENT         ,20230,TH,12:00 p.m.-3:00 p.m.,DFA 2.506,Face-to-face,"MULDER, STEPHENNIE",open,,
D S  235 INTRO TO DECISION SCIENCE         ,04220,TH,12:00 p.m.-2:00 p.m.,UTC 3.112,Face-to-face,"CAO, JUNYU",open; reserved,Quantitative Reasoning,
D S  235H INTRO TO DECISION SCIENCE: HON         ,04270,TH,12:00 p.m.-2:00 p.m.,CBA 4.304,Face-to-face,"GAO, RUI",open; reserved,Quantitative Reasoning,
MES  386 11-ISLAMIC ORNAMENT         ,39549,TH,12:00 p.m.-3:00 p.m.,DFA 2.506,Face-to-face,"MULDER, STEPHENNIE",open,,
N  194F PED PRIM HLTH CARE CONC I CLIN         ,57700,TH,12:00 p.m.-1:00 p.m.,NUR 4.174,Face-to-face,"KEY, STEPHANIE MEDGAR, CARLY EFROCK, PAIGE",open,,
N  394F PED PRIM HLTH CARE CONC I CLIN         ,57705,TH,12:00 p.m.-1:00 p.m.,NUR 4.174,Face-to-face,"EDGAR, CARLY EKEY, STEPHANIE MFROCK, PAIGE",open,,
O M  235 OPERATIONS MANAGEMENT         ,04875,TH,12:00 p.m.-2:00 p.m.,UTC 3.110,Face-to-face,"BURKE, CHRISTOPHER J",open; reserved,,
STA  235 DATA SCI FOR BUSINESS APPLCTNS         ,05220,TH,12:00 p.m.-2:00 p.m.,UTC 3.104,Face-to-face,"ZHOU, MINGYUAN",open; reserved,Quantitative Reasoning,
ADV  332C NEW MEDIA ENTREPRENEURIALISM         ,06905,TH,12:30 p.m.-3:30 p.m.,DMC 2.106,Hybrid or Blended,"BUNTING, JAMES MARTIN",open,,
ARC  380C 2-REALITY CAPTURE FOR ARCH         ,01015,TH,12:30 p.m.-3:30 p.m.,WMB 6.126,Face-to-face,"STEPNOSKI, ROBERT F",open; reserved,,
ECO  387M WRITING SEMINAR IN ECONOMICS         ,33980,THF,12:30 p.m.-2:00 p.m.12:30 p.m.-2:00 p.m.,BRB 1.118BRB 1.118,Face-to-face,"CHYN, ERIC",open,,
EDC  339F ADOLESCENT LITERACY         ,10505,TH,12:30 p.m.-3:30 p.m.,SZB 4.312,Face-to-face,,open,,
GOV  384M PUBLIC POLICY PROCESS         ,37645,TH,12:30 p.m.-3:30 p.m.,MEZ 5.104,Face-to-face,"JONES, BRYAN DAVIDSON",open; reserved,,
GOV  388L RESEARCH IN INTL POLITICS         ,37695,TH,12:30 p.m.-3:30 p.m.,BAT 5.102,Face-to-face,"WOLFORD, MICHAEL SCOTT",open; reserved,,
HIS  382N CONTEMPORARY CHINESE HISTORY         ,38315,TH,12:30 p.m.-3:30 p.m.,GAR 1.122,Face-to-face,"LI, HUAIYIN",open,,
INF  385T 2-VISUALIZATION         ,27775,TH,12:30 p.m.-3:30 p.m.,UTA 1.502,Face-to-face,"FRANCISCO-REVILLA, LUIS",open; reserved,,
INF  391D 12-DISCIP FNDATNS FOR INF STDS         ,27840,TH,12:30 p.m.-3:30 p.m.,UTA 1.204,Face-to-face,"ACKER, AMELIA",open,,
J  363C BROADCAST CAPSTONE         ,08885,THTH,12:30 p.m.-2:00 p.m.2:00 p.m.-5:00 p.m.,DMC 3.208DMC 3.208,Face-to-face,"WEST, KATHARINE",open,,
LAR  381S REALITY CAPTURE FOR ARCH         ,01610,TH,12:30 p.m.-3:30 p.m.,WMB 6.126,Face-to-face,"STEPNOSKI, ROBERT F",open; reserved,,
